iter	Passed	Remaining
1397	191446	82439
1398	191551	82288
1399	191658	82139
1400	191768	81990
1401	191880	81843
1402	191999	81699
1403	192121	81555
1404	192237	81410
1405	192350	81263
1406	192469	81118
1407	192583	80972
1408	192702	80828
1409	192813	80680
1410	192919	80531
1411	193021	80380
1412	193127	80230
1413	193231	80080
1414	193332	79928
1415	193438	79779
1416	193579	79645
1417	193691	79498
1418	193796	79348
1419	193899	79198
1420	194001	79047
1421	194108	78899
1422	194213	78749
1423	194320	78601
1424	194422	78451
1425	194571	78319
1426	194680	78172
1427	194833	78042
1428	194937	77893
1429	195039	77742
1430	195143	77593
1431	195251	77446
1432	195357	77297
1433	195464	77149
1434	195572	77002
1435	195676	76853
1436	195780	76704
1437	195883	76555
1438	196026	76421
1439	196159	76284
1440	196298	76148
1441	196434	76012
1442	196594	75885
1443	196704	75739
1444	196807	75590
1445	196914	75443
1446	197017	75294
1447	197162	75161
1448	197299	75025
1449	197406	74878
1450	197521	74734
1451	197639	74591
1452	197748	74444
1453	197866	74302
1454	197980	74157
1455	198090	74011
1456	198202	73866
1457	198320	73723
1458	198435	73580
1459	198544	73434
1460	198653	73288
1461	198761	73142
1462	198874	72997
1463	198985	72852
1464	199098	72708
1465	199210	72563
1466	199323	72419
1467	199435	72275
1468	199541	72128
1469	199651	71983
1470	199750	71834
1471	199871	71693
1472	199979	71547
1473	200082	71399
1474	200183	71251
1475	200329	71119
1476	200468	70985
1477	200609	70851
1478	200745	70715
1479	200859	70572
1480	200967	70426
1481	201076	70281
1482	201186	70137
1483	201314	69998
1484	201418	69852
1485	201560	69718
1486	201702	69585
1487	201841	69450
1488	201958	69308
1489	202067	69164
1490	202175	69018
1491	202276	68871
1492	202417	68737
1493	202564	68606
1494	202682	68464
1495	202828	68332
1496	202945	68190
1497	203066	68050
1498	203174	67905
1499	203308	67769
1500	203429	67629
1501	203541	67485
1502	203656	67343
1503	203794	67208
1504	203911	67067
1505	204032	66927
1506	204174	66793
1507	204293	66652
1508	204424	66515
1509	204570	66383
1510	204699	66246
1511	204849	66115
1512	204979	65978
1513	205096	65836
1514	205215	65696
1515	205332	65554
1516	205445	65411
1517	205559	65269
1518	205673	65127
1519	205784	64984
1520	205927	64851
1521	206045	64710
1522	206173	64573
1523	206287	64430
1524	206409	64291
1525	206527	64150
1526	206637	64007
1527	206743	63863
1528	206857	63721
1529	206971	63579
1530	207074	63434
1531	207189	63292
1532	207307	63152
1533	207427	63012
1534	207533	62868
1535	207651	62727
1536	207770	62587
1537	207886	62447
1538	207995	62303
1539	208098	62159
1540	208211	62017
1541	208318	61874
1542	208462	61741
1543	208581	61601
1544	208693	61459
1545	208804	61317
1546	208922	61177
1547	209039	61037
1548	209156	60897
1549	209266	60754
1550	209401	60619
1551	209538	60485
1552	209641	60341
1553	209789	60209
1554	209937	60078
1555	210101	59951
1556	210214	59810
1557	210331	59670
1558	210458	59533
1559	210567	59390
1560	210689	59252
1561	210825	59117
1562	210958	58982
1563	211108	58851
1564	211274	58724
1565	211423	58593
1566	211568	58461
1567	211699	58325
1568	211846	58193
1569	211995	58062
1570	212130	57927
1571	212259	57790
1572	212407	57659
1573	212540	57523
1574	212689	57392
1575	212841	57261
1576	212994	57131
1577	213127	56996
1578	213248	56857
1579	213371	56718
1580	213485	56578
1581	213612	56441
1582	213721	56299
1583	213841	56160
1584	213963	56021
1585	214091	55885
1586	214225	55749
1587	214332	55607
1588	214454	55469
1589	214572	55330
1590	214715	55197
1591	214833	55057
1592	214953	54919
1593	215079	54781
1594	215196	54642
1595	215311	54502
1596	215441	54366
1597	215570	54229
1598	215681	54088
1599	215800	53950
1600	215926	53813
1601	216053	53676
1602	216176	53538
1603	216301	53401
1604	216435	53265
1605	216562	53129
1606	216684	52991
1607	216805	52853
1608	216911	52711
1609	217014	52568
1610	217123	52427
1611	217230	52286
1612	217372	52153
1613	217488	52013
1614	217605	51874
1615	217727	51737
1616	217888	51608
1617	218038	51477
1618	218212	51351
1619	218369	51222
1620	218534	51094
1621	218669	50960
1622	218822	50829
1623	218986	50701
1624	219146	50572
1625	219296	50440
1626	219450	50310
1627	219588	50176
1628	219733	50043
1629	219858	49906
1630	219963	49764
1631	220084	49626
1632	220210	49489
1633	220337	49353
1634	220457	49215
1635	220596	49081
1636	220747	48950
1637	220904	48820
1638	221014	48679
1639	221127	48540
1640	221267	48406
1641	221422	48276
1642	221527	48134
1643	221634	47993
1644	221742	47853
1645	221847	47711
1646	221965	47573
1647	222073	47433
1648	222189	47294
1649	222326	47160
1650	222477	47028
1651	222631	46898
1652	222769	46764
1653	222884	46625
1654	223028	46492
1655	223149	46354
1656	223272	46217
1657	223384	46078
1658	223502	45939
1659	223620	45801
